borrower_income,credit_score,naics_code,equipment_type,loan_amount,down_payment,term_months,dealer_state,ltv,prior_defaults,bankruptcy_history,risk_flags,approved,loss_rate
139205.99,698.0,4238,Combine,200644.67,47389.18,66,IA,0.8089,0,0,,1,0.0305
99710.6,731.0,3331,Combine,206246.77,38915.28,36,IA,0.8413,0,0,,1,0.0218
113900.55,745.0,1152,Planter,243814.28,45479.7,75,MO,0.8428,0,0,long_term,1,0.0432
78251.98,604.0,1152,Sprayer,210353.32,26800.29,49,ND,0.887,0,0,low_credit,0,0.1479
126361.37,678.0,1119,Loader,55660.21,5962.39,38,MO,0.9032,0,0,low_down_payment,1,0.0385
119789.79,705.0,1121,Harvester,237300.47,46844.22,75,ND,0.8351,0,0,long_term,1,0.0421
99098.81,704.0,1111,Harvester,261963.81,69917.49,83,ND,0.7893,0,0,long_term,1,0.0403
119125.87,639.0,1119,Harvester,190186.66,41164.54,40,MN,0.8221,0,0,low_credit,1,0.0574
61705.9,704.0,1113,Baler,138703.95,50906.52,55,KS,0.7315,0,0,,1,0.0413
221895.32,697.0,1121,Sprayer,144708.14,31874.41,77,MO,0.8195,0,0,long_term,1,0.0411
66680.83,722.0,1121,Combine,227000.38,61960.09,73,NE,0.7856,0,0,long_term,1,0.0612
30000.0,603.0,1113,Planter,229937.37,41583.86,76,KS,0.8468,0,0,low_income;low_credit;long_term,0,0.2416
124569.79,654.0,1119,Tractor,211286.61,126034.29,65,ND,0.6264,0,0,,1,0.0295
74023.25,734.0,1112,Sprayer,157255.91,47896.02,79,IL,0.7665,0,0,long_term,0,0.0524
170477.05,692.0,1113,Loader,155439.45,26275.46,63,WI,0.8554,0,0,,1,0.0343
80755.29,748.0,1111,Baler,89219.61,26800.34,36,ND,0.769,0,0,,1,0.0216
97836.68,696.0,1113,Skid Steer,204177.64,38812.82,47,MO,0.8403,0,0,,1,0.0256
91181.26,644.0,1152,Planter,252113.24,52751.5,47,IL,0.827,0,0,,1,0.0542
107301.39,643.0,1152,Skid Steer,132123.61,34434.91,70,MN,0.7933,0,0,,0,0.0662
116791.61,636.0,1113,Loader,187816.58,39718.96,62,NE,0.8254,0,0,low_credit,1,0.0803
52964.36,669.0,1151,Planter,320515.0,0.0,47,WI,1.0,0,0,high_ltv;low_down_payment;low_income,0,0.1607
116206.63,785.0,1151,Loader,312776.95,28016.66,40,WI,0.9178,0,0,low_down_payment,1,0.0337
128193.47,653.0,1121,Baler,179717.29,7099.61,75,IN,0.962,0,0,high_ltv;low_down_payment;long_term,0,0.1239
58456.14,698.0,1111,Skid Steer,123283.08,35391.13,42,SD,0.777,0,0,low_income,1,0.0481
170303.05,661.0,1152,Skid Steer,52089.67,7844.26,60,ND,0.8691,0,0,,1,0.0561
30000.0,774.0,3331,Tractor,225668.92,24172.98,84,IN,0.9032,0,0,low_down_payment;low_income;long_term,1,0.1891
131080.25,714.0,1152,Skid Steer,286721.06,28679.0,42,MO,0.9091,0,0,low_down_payment,1,0.0337
112397.58,664.0,1112,Harvester,211181.8,9154.14,82,IN,0.9585,0,0,high_ltv;low_down_payment;long_term,1,0.1165
112982.83,752.0,3331,Harvester,44822.19,5566.78,56,KS,0.8895,0,0,,1,0.0348
126693.01,656.0,3331,Baler,110782.17,5922.45,36,IN,0.9493,0,0,low_down_payment,1,0.0622
212217.1,708.0,3331,Loader,113548.7,29811.47,64,MO,0.7921,0,0,,1,0.0279
85406.66,659.0,1152,Baler,252399.5,41065.22,69,MO,0.8601,0,0,,0,0.0703
30000.0,640.0,1113,Planter,131701.03,45355.58,50,NE,0.7438,0,0,low_income;low_credit,1,0.158
102437.05,743.0,1113,Combine,54637.9,5905.05,48,MN,0.9025,0,0,low_down_payment,1,0.0359
58421.48,684.0,1121,Baler,34760.92,10745.59,57,MN,0.7639,0,0,low_income,1,0.0614
30000.0,603.0,4238,Skid Steer,90786.56,33619.75,48,IA,0.7298,0,0,low_income;low_credit,0,0.1896
107622.34,715.0,4238,Tractor,145491.68,40043.05,57,IL,0.7842,0,1,bankruptcy,1,0.0949
158447.63,629.0,1111,Skid Steer,173235.0,60910.53,37,IL,0.7399,1,0,low_credit;prior_default,1,0.1263
105515.31,669.0,1152,Baler,250271.06,30474.84,47,IL,0.8915,0,0,,1,0.0445
161234.94,720.0,1113,Skid Steer,226560.14,62199.98,68,IA,0.7846,0,0,,1,0.0288
180681.75,780.0,1152,Combine,88063.79,7409.98,76,ND,0.9224,0,0,low_down_payment;long_term,1,0.0624
46380.65,682.0,1152,Planter,79681.07,18066.83,59,SD,0.8152,0,0,low_income,1,0.0969
56290.78,677.0,3331,Baler,262172.46,51343.54,51,IL,0.8362,0,0,low_income,1,0.0831
151162.66,687.0,1111,Planter,166678.55,60014.15,49,NE,0.7353,0,0,,1,0.0191
49010.74,667.0,1119,Skid Steer,180996.32,36919.71,62,WI,0.8306,1,0,low_income;prior_default,0,0.2042
115984.7,700.0,1111,Loader,269576.55,46768.66,46,WI,0.8522,0,0,,1,0.0263
30000.0,687.0,1121,Baler,108534.67,1170.29,60,WI,0.9893,0,0,high_ltv;low_down_payment;low_income,0,0.1964
71119.86,636.0,1151,Combine,65401.04,11506.57,56,WI,0.8504,0,0,low_credit,1,0.1152
100801.56,692.0,1111,Planter,108772.55,51256.57,64,MO,0.6797,0,0,,1,0.0185
106398.85,700.0,3331,Tractor,140218.34,47411.94,60,WI,0.7473,0,0,,1,0.0224
102371.49,690.0,1111,Skid Steer,111588.5,7708.5,51,MN,0.9354,0,0,low_down_payment,1,0.0422
137592.72,688.0,1113,Harvester,52937.14,5840.67,37,NE,0.9006,0,0,low_down_payment,1,0.0312
147644.23,624.0,1113,Planter,250528.24,61868.56,45,MN,0.802,0,0,low_credit,1,0.0723
79902.2,663.0,1111,Planter,268624.5,34343.57,60,NE,0.8866,0,0,,1,0.0727
122536.13,691.0,1113,Loader,127558.38,7731.64,58,NE,0.9429,0,0,low_down_payment,1,0.0475
71170.99,707.0,1111,Planter,113882.81,11801.84,66,SD,0.9061,0,0,low_down_payment,0,0.0734
166354.29,582.0,1113,Planter,115475.32,33017.93,56,IN,0.7776,0,0,low_credit,1,0.1276
94547.88,689.0,1121,Combine,162551.14,44021.28,60,IL,0.7869,0,0,,0,0.0262
101045.55,737.0,1111,Skid Steer,195271.32,18825.73,70,WI,0.9121,0,0,low_down_payment,1,0.0506
30000.0,706.0,1119,Sprayer,164357.13,42868.13,36,KS,0.7931,0,0,low_income,0,0.0883
83218.64,808.0,1121,Skid Steer,42822.11,17460.43,59,IN,0.7104,0,0,,1,0.0232
93487.56,644.0,1151,Skid Steer,42467.38,3236.8,71,KS,0.9292,0,0,low_down_payment,0,0.1056
58128.56,746.0,1121,Harvester,293540.99,32624.01,55,MO,0.9,0,0,low_income,0,0.0837
133439.17,608.0,1112,Baler,198949.12,52869.56,63,ND,0.79,0,0,low_credit,1,0.1053
185746.65,757.0,1152,Loader,96307.12,40949.37,58,KS,0.7017,0,0,,1,0.0183
86348.71,720.0,1119,Sprayer,212872.47,29484.42,60,ND,0.8783,0,0,,1,0.039
169903.72,657.0,4238,Harvester,46884.47,4144.3,40,NE,0.9188,0,0,low_down_payment,1,0.0585
119222.15,708.0,1112,Sprayer,104233.77,27240.07,67,IN,0.7928,0,0,,1,0.0292
158443.55,696.0,3331,Planter,173611.61,62159.23,53,KS,0.7364,1,0,prior_default,1,0.0641
62034.37,739.0,1119,Skid Steer,253069.59,77391.34,68,WI,0.7658,0,0,,1,0.0547
124688.05,617.0,1152,Combine,292943.48,33838.24,57,ND,0.8965,0,0,low_credit,1,0.1175
125012.71,677.0,1151,Harvester,107997.45,25245.19,77,IA,0.8105,0,0,long_term,1,0.0498
170030.67,681.0,1113,Combine,115596.11,31923.53,57,WI,0.7836,0,0,,0,0.0287
78603.67,764.0,1112,Skid Steer,103548.46,70405.64,62,SD,0.5953,0,0,,1,0.018
35536.87,721.0,4238,Sprayer,230495.82,16857.43,56,IA,0.9318,0,0,low_down_payment;low_income,0,0.1475
176063.35,712.0,3331,Combine,288732.67,61091.01,71,IA,0.8254,0,0,,1,0.0347
136532.54,610.0,1152,Baler,226983.66,23057.0,50,IL,0.9078,0,0,low_down_payment;low_credit,0,0.1298
108554.49,747.0,1121,Combine,257656.49,59717.97,55,IA,0.8118,0,0,,1,0.0261
96712.09,670.0,1113,Baler,149382.45,28694.13,81,MO,0.8389,0,0,long_term,0,0.0636
97577.8,756.0,1121,Sprayer,209189.51,85666.45,60,MN,0.7095,0,0,,1,0.0195
80557.31,686.0,1111,Baler,154086.05,3124.78,68,IA,0.9801,0,0,high_ltv;low_down_payment,1,0.0883
79733.26,723.0,1119,Skid Steer,277026.03,70042.45,61,IL,0.7982,0,0,,1,0.0357
93542.63,602.0,1121,Tractor,95386.35,16957.01,48,MO,0.8491,0,0,low_credit,0,0.1132
99740.39,630.0,1111,Baler,222226.63,6248.7,58,IN,0.9727,0,0,high_ltv;low_down_payment;low_credit,0,0.1402
143460.86,641.0,1152,Sprayer,189001.75,15183.39,67,NE,0.9256,1,0,low_down_payment;prior_default,0,0.201
150337.98,671.0,1112,Harvester,220766.64,95763.87,69,ND,0.6975,0,0,,1,0.0301
45485.65,658.0,1119,Harvester,99782.6,10515.55,65,IN,0.9047,0,0,low_down_payment;low_income,0,0.1724
144904.16,658.0,1111,Tractor,122612.86,31384.87,57,IL,0.7962,0,0,,1,0.0443
164623.01,683.0,1112,Skid Steer,214228.39,19740.23,75,IA,0.9156,0,0,low_down_payment;long_term,1,0.0677
130478.45,655.0,1113,Loader,259190.24,75146.64,46,KS,0.7752,0,0,,0,0.0374
106196.34,716.0,1151,Harvester,146861.29,19383.84,67,ND,0.8834,0,0,,1,0.0399
86453.28,586.0,1119,Skid Steer,143862.32,32750.98,57,MN,0.8146,0,0,low_credit,0,0.1416
76718.19,728.0,3331,Skid Steer,215925.28,29994.51,59,SD,0.878,0,0,,1,0.049
99802.55,639.0,1112,Sprayer,178483.19,38131.9,67,WI,0.824,0,0,low_credit,1,0.0807
76937.97,686.0,1119,Sprayer,130144.86,34562.98,52,IL,0.7902,0,0,,1,0.035
107721.08,699.0,4238,Tractor,148549.33,47858.0,44,IN,0.7563,0,0,,1,0.0181
30000.0,699.0,3331,Planter,80029.68,13949.76,70,WI,0.8516,0,0,low_income,1,0.1413
132642.17,726.0,4238,Loader,159211.5,0.0,56,KS,1.0,0,0,high_ltv;low_down_payment,1,0.0612
141205.66,648.0,3331,Planter,157618.69,14755.19,64,MO,0.9144,0,0,low_down_payment,1,0.0895
79766.06,684.0,1121,Loader,225044.82,30443.85,41,IN,0.8808,0,0,,1,0.0395
30000.0,626.0,1113,Tractor,66620.62,20964.6,70,MO,0.7606,0,0,low_income;low_credit,0,0.1943
69095.28,709.0,1151,Sprayer,260155.1,50624.67,65,IA,0.8371,0,0,,0,0.056
100088.47,671.0,1111,Baler,194348.84,65919.25,66,WI,0.7467,0,0,,1,0.0341
86534.7,671.0,1112,Baler,179122.1,29021.84,55,IL,0.8606,0,0,,1,0.047
164788.4,754.0,1119,Loader,120363.46,11880.97,71,ND,0.9102,0,0,low_down_payment,1,0.051
112976.76,701.0,1112,Baler,223127.4,64588.11,77,KS,0.7755,0,0,long_term,1,0.0353
161194.1,625.0,1111,Tractor,126165.88,29121.82,64,KS,0.8125,0,0,low_credit,1,0.091
132119.36,675.0,1112,Harvester,72318.62,35456.41,66,IL,0.671,0,0,,1,0.0243
136260.18,699.0,4238,Planter,55726.03,8589.16,67,ND,0.8665,0,0,,1,0.0377
66652.85,808.0,4238,Tractor,237611.71,96785.43,71,MO,0.7106,0,0,,1,0.0424
113159.14,635.0,1152,Loader,71326.16,29430.51,69,NE,0.7079,0,0,low_credit,1,0.0618
115662.69,680.0,1112,Loader,73908.82,3821.45,54,MN,0.9508,0,0,high_ltv;low_down_payment,1,0.0595
169741.75,677.0,1113,Skid Steer,60887.17,4494.69,63,NE,0.9313,0,0,low_down_payment,0,0.0604
87214.01,766.0,1111,Skid Steer,245025.42,50749.71,58,ND,0.8284,0,0,,1,0.0312
66580.83,710.0,1121,Combine,219418.06,30497.47,71,MO,0.878,0,0,,1,0.0726
104396.29,561.0,1152,Baler,62051.4,22950.93,57,IL,0.73,0,0,low_credit,0,0.1404
130349.09,691.0,4238,Skid Steer,82546.31,22742.12,63,SD,0.784,0,0,,1,0.0267
103979.16,651.0,1112,Planter,111615.14,16780.92,47,NE,0.8693,0,0,,0,0.0554
79516.73,651.0,1152,Combine,268500.11,25097.19,75,WI,0.9145,0,0,low_down_payment;long_term,0,0.1268
108056.09,715.0,1152,Tractor,113903.14,26820.13,70,WI,0.8094,0,0,,1,0.0324
30000.0,615.0,1119,Skid Steer,166396.61,30472.61,36,NE,0.8452,0,0,low_income;low_credit,0,0.2029
132777.67,716.0,1111,Sprayer,49361.12,459.57,63,IN,0.9908,0,0,high_ltv;low_down_payment,1,0.0652
63138.09,768.0,4238,Planter,273954.03,12912.49,56,ND,0.955,0,0,high_ltv;low_down_payment,1,0.0969
129803.63,707.0,3331,Tractor,132740.99,17374.48,41,SD,0.8843,0,0,,1,0.0274
139719.0,730.0,3331,Baler,222036.24,30769.25,58,MN,0.8783,0,0,,1,0.0345
112292.68,725.0,1113,Planter,118009.15,11234.09,40,KS,0.9131,0,0,low_down_payment,1,0.0332
106324.06,742.0,1152,Baler,276033.36,23680.01,36,NE,0.921,1,0,low_down_payment;prior_default,1,0.0981
30000.0,737.0,1111,Planter,157215.12,8331.45,48,ND,0.9497,0,0,low_down_payment;low_income,0,0.1557
125364.23,703.0,3331,Tractor,201841.61,53730.99,62,MN,0.7898,0,0,,1,0.0268
166115.45,713.0,1121,Planter,89713.74,16457.82,62,IN,0.845,0,0,,1,0.0326
74486.78,714.0,1111,Combine,99836.08,22856.06,84,NE,0.8137,0,0,long_term,1,0.0643
113658.95,747.0,1151,Planter,206017.21,77768.89,36,KS,0.726,0,0,,1,0.0143
104233.29,701.0,1112,Planter,188961.71,44807.78,73,WI,0.8083,0,0,long_term,0,0.0374
134177.73,603.0,1152,Baler,295254.31,0.0,60,NE,1.0,0,0,high_ltv;low_down_payment;low_credit,0,0.1914
129133.36,664.0,1111,Sprayer,232336.34,91175.56,57,SD,0.7182,0,0,,0,0.0308
100380.21,784.0,3331,Tractor,313424.01,31752.5,74,IN,0.908,0,0,low_down_payment;long_term,1,0.0581
33087.64,692.0,1113,Sprayer,235965.48,49311.34,65,WI,0.8271,0,0,low_income,0,0.1221
58856.54,655.0,4238,Baler,49312.87,3144.64,74,IA,0.9401,0,0,low_down_payment;low_income;long_term,0,0.1792
80933.49,599.0,1121,Planter,124460.58,41452.47,43,MN,0.7502,0,0,low_credit,1,0.1021
114163.49,623.0,4238,Tractor,115023.01,4915.42,54,MN,0.959,0,0,high_ltv;low_down_payment;low_credit,0,0.1414
151121.48,676.0,1113,Loader,145542.98,36564.35,53,IL,0.7992,0,0,,1,0.0311
132283.1,611.0,3331,Tractor,281255.48,44923.26,72,IA,0.8623,0,0,low_credit,0,0.1315
81182.75,689.0,3331,Sprayer,76476.38,8948.95,60,MN,0.8952,0,0,,1,0.0478
96470.0,640.0,1121,Sprayer,139930.72,10618.74,61,KS,0.9295,0,0,low_down_payment;low_credit,0,0.1083
79035.16,702.0,1112,Harvester,224237.19,30008.02,54,WI,0.882,0,0,,0,0.0437
181947.48,810.0,1151,Planter,102677.03,30722.38,47,ND,0.7697,0,0,,1,0.0199
98507.2,618.0,4238,Baler,61112.94,6478.58,70,MN,0.9042,0,0,low_down_payment;low_credit,1,0.1413
181774.13,747.0,1121,Loader,255778.83,21149.79,63,NE,0.9236,0,0,low_down_payment,1,0.0478
30000.0,631.0,1151,Combine,54358.87,12555.48,68,MN,0.8124,0,0,low_income;low_credit,0,0.2035
117322.91,668.0,1112,Tractor,60753.22,13278.98,37,WI,0.8206,1,0,prior_default,1,0.0922
124910.46,668.0,3331,Planter,79063.08,16983.25,55,IL,0.8232,0,0,,0,0.0398
30000.0,700.0,1152,Tractor,296936.19,7231.51,59,WI,0.9762,0,0,high_ltv;low_down_payment;low_income,0,0.1862
30000.0,727.0,3331,Skid Steer,172937.47,32728.37,74,IN,0.8409,0,0,low_income;long_term,1,0.1504
138627.24,688.0,3331,Planter,289518.28,55920.96,46,ND,0.8381,0,0,,1,0.0259
64468.85,653.0,1111,Combine,118971.57,50566.95,60,IL,0.7017,0,0,,1,0.0671
134762.02,650.0,1152,Loader,182033.08,31931.17,62,MO,0.8508,0,0,,1,0.0645
122701.96,608.0,1151,Loader,38022.32,13603.33,67,IL,0.7365,0,0,low_credit,0,0.0946
88314.98,698.0,1111,Loader,76169.25,23305.02,70,WI,0.7657,0,0,,1,0.029
186401.15,763.0,1119,Tractor,149039.73,46649.67,40,KS,0.7616,0,0,,1,0.0173
113983.58,599.0,1119,Sprayer,218508.16,22914.7,66,IN,0.9051,0,0,low_down_payment;low_credit,0,0.1634
35204.13,710.0,1151,Loader,50239.8,7738.51,54,MO,0.8665,0,0,low_income,1,0.1173
106456.65,693.0,1111,Baler,298613.12,28500.44,54,IA,0.9129,0,0,low_down_payment,1,0.0406
30000.0,651.0,1152,Sprayer,220466.36,83719.35,72,IL,0.7248,0,0,low_income,1,0.153
51342.21,653.0,4238,Sprayer,155898.01,33204.93,47,MN,0.8244,0,0,low_income,1,0.1144
44245.54,773.0,1121,Loader,238230.71,94252.65,59,IL,0.7165,0,0,low_income,1,0.0685
87914.56,586.0,1113,Baler,254914.6,1428.01,50,NE,0.9944,0,0,high_ltv;low_down_payment;low_credit,0,0.2054
75571.66,697.0,1112,Tractor,126962.53,4999.81,47,KS,0.9621,0,0,high_ltv;low_down_payment,0,0.0679
94374.15,645.0,4238,Sprayer,163474.39,30751.49,65,MN,0.8417,0,0,,1,0.0704
109711.05,778.0,1121,Combine,172430.82,31741.49,43,KS,0.8445,0,0,,1,0.0245
106397.12,671.0,1121,Baler,142863.94,22328.01,50,MN,0.8648,1,0,prior_default,1,0.1146
129539.55,698.0,1121,Sprayer,59619.16,15968.5,71,IN,0.7887,0,0,,1,0.0305
75035.5,709.0,3331,Tractor,294694.46,49512.01,63,MN,0.8562,0,0,,1,0.0502
48095.61,783.0,3331,Harvester,232531.12,69478.54,67,NE,0.7699,0,0,low_income,0,0.0812
126447.13,686.0,1121,Combine,56202.14,16461.9,50,MN,0.7735,0,0,,1,0.0228
114243.47,659.0,1119,Skid Steer,130243.65,0.0,75,MO,1.0,0,0,high_ltv;low_down_payment;long_term,1,0.1277
60283.6,701.0,1112,Sprayer,186853.45,65557.2,71,KS,0.7403,0,0,,1,0.0546
127406.53,691.0,3331,Combine,234023.51,71026.42,46,ND,0.7672,1,0,prior_default,1,0.0647
82821.31,585.0,1152,Planter,65641.52,19237.78,52,IL,0.7734,0,0,low_credit,1,0.1309
97220.8,738.0,3331,Tractor,171770.8,31575.2,59,NE,0.8447,0,0,,1,0.0311
47124.15,683.0,1113,Planter,104822.96,23718.42,60,IA,0.8155,0,0,low_income,1,0.0955
151008.33,728.0,1111,Baler,86096.97,20547.89,58,NE,0.8073,0,0,,1,0.0269
109256.66,728.0,4238,Skid Steer,240027.9,78101.0,70,NE,0.7545,0,0,,0,0.0267
139734.34,670.0,1152,Harvester,64421.32,9026.3,53,WI,0.8771,0,0,,1,0.0453
113936.04,712.0,1119,Loader,43294.26,14655.42,56,MN,0.7471,0,0,,1,0.021
68589.33,689.0,1121,Skid Steer,118371.86,26609.5,59,MN,0.8165,0,0,,1,0.0499
87988.23,703.0,4238,Combine,78045.58,45254.55,50,SD,0.633,0,0,,1,0.0132
90052.42,830.0,1112,Baler,184694.42,38475.03,64,IA,0.8276,0,0,,1,0.0316
137917.16,638.0,1111,Tractor,166034.38,35199.73,47,MO,0.8251,0,0,low_credit,1,0.0641
81530.76,633.0,3331,Tractor,232198.27,31810.74,75,MO,0.8795,0,0,low_credit;long_term,1,0.1362
66713.12,626.0,3331,Skid Steer,290331.49,43653.89,56,NE,0.8693,0,0,low_credit,1,0.1436
88196.6,802.0,1119,Loader,50536.72,14945.76,62,MN,0.7718,0,0,,1,0.0264
129704.23,725.0,1112,Combine,94023.72,48625.38,48,IL,0.6591,0,0,,1,0.0134
95318.29,640.0,1113,Loader,102259.7,22618.69,53,IN,0.8189,0,0,,1,0.0602
132488.02,661.0,1121,Skid Steer,253149.27,69338.99,69,MO,0.785,0,0,,1,0.0479
100586.69,649.0,1151,Baler,68478.18,15123.78,42,MO,0.8191,0,0,,1,0.045
131067.69,805.0,4238,Sprayer,45333.72,10777.49,63,NE,0.8079,0,0,,1,0.029
103240.55,680.0,1151,Planter,96974.02,10355.65,49,IN,0.9035,0,0,low_down_payment,1,0.0434
33802.48,644.0,1113,Combine,118474.02,17759.15,59,MN,0.8696,0,0,low_income,0,0.1872
51789.72,703.0,4238,Tractor,142478.1,50765.71,62,KS,0.7373,0,0,low_income,0,0.0642
140521.5,718.0,1119,Loader,78269.32,21846.06,57,IA,0.7818,0,0,,1,0.0242
110709.01,520.0,4238,Planter,125550.03,42448.41,44,IL,0.7473,0,0,low_credit,0,0.1791
125635.16,705.0,1119,Harvester,237089.13,60073.39,68,IL,0.7978,0,0,,1,0.0302
85802.78,749.0,1113,Tractor,47832.81,18254.33,71,SD,0.7238,0,0,,1,0.0271
85438.52,705.0,1111,Skid Steer,305357.2,0.0,54,IL,1.0,0,0,high_ltv;low_down_payment,0,0.0664
166595.31,688.0,1111,Harvester,237993.79,60370.91,65,KS,0.7977,0,0,,1,0.0299
156311.4,686.0,1121,Planter,133789.52,52190.0,36,IL,0.7194,0,0,,1,0.0151
35137.16,699.0,1113,Tractor,228954.71,27672.38,59,KS,0.8922,1,0,low_income;prior_default,0,0.2188
96446.77,572.0,1152,Skid Steer,46952.52,19965.44,57,IL,0.7016,0,0,low_credit,1,0.1184
134319.33,719.0,1121,Planter,62929.62,19867.78,59,NE,0.76,0,0,,1,0.0231
175649.93,630.0,1113,Skid Steer,101078.35,44506.19,55,IN,0.6943,0,0,low_credit,1,0.0533
140500.85,624.0,3331,Sprayer,183411.97,22517.12,57,IL,0.8907,0,0,low_credit,0,0.1054
101098.29,670.0,1111,Combine,209057.82,46955.53,69,WI,0.8166,0,0,,1,0.046
155539.26,683.0,1119,Skid Steer,171848.3,52345.84,36,SD,0.7665,0,0,,1,0.0191
76010.63,717.0,1151,Baler,50052.77,9914.81,54,ND,0.8347,0,0,,1,0.0403
30862.67,701.0,1119,Planter,185805.01,23134.82,55,IL,0.8893,0,0,low_income,1,0.1342
166054.34,644.0,1112,Harvester,196602.09,72272.96,52,MO,0.7312,0,0,,1,0.042
109542.16,747.0,3331,Tractor,134478.53,22832.35,84,IN,0.8549,0,0,long_term,1,0.0509
94082.14,632.0,1119,Loader,238505.74,55292.1,48,SD,0.8118,0,0,low_credit,0,0.0683
138286.16,730.0,1121,Baler,183364.07,20889.07,84,NE,0.8977,1,0,long_term;prior_default,0,0.1459
67758.71,662.0,1113,Harvester,47584.45,13679.7,61,IA,0.7767,0,0,,1,0.0691
98042.52,620.0,4238,Harvester,107290.75,8692.55,51,NE,0.9251,0,0,low_down_payment;low_credit,0,0.1234
119748.59,717.0,1151,Planter,276245.0,46977.63,49,ND,0.8547,0,0,,1,0.0278
65344.27,697.0,1111,Skid Steer,33752.16,16274.91,59,MO,0.6747,1,0,prior_default,1,0.0943
