make,model,year,hours,price,location,condition,serial_number,source,timestamp,listing_id,title,asset_type,auction,sale_date,buying_format,image_url,source_url,auction_type,buy_now,buy_now_text,features
John Deere,9530,2011.0,,,"Rockglen, SK, CAN",,1RW9530PPBP023834,RitchieBros,2026-01-20 22:53:28.229233,D24A4C7D-FE0B-3606-8035-CF73500B68BC,2011 John Deere 9530 Articulated Tractor,Articulated Tractor,"Rockglen, SK, CAN - Apr 22, 2026",2026-04-22 14:00:00,Live Auction,https://cdn.ironpla.net/i/20855/448/ae350849-b157-4b15-a300-aa81cc64c363.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9530,2009.0,,,"Elrose, SK, CAN",,RW9530P011117,RitchieBros,2026-01-20 22:53:28.229233,858F4259-1393-3496-9D0C-B9B182091F81,2009 John Deere 9530 Articulated 4WD Tractor,Articulated Tractor,"Elrose, SK, CAN - Apr 11, 2026",2026-04-11 14:00:00,Live Auction,https://cdn.ironpla.net/i/19677/897/5c69acd3-2d56-491e-9d84-3026cf380559.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9460R,2012.0,,,"St Paul, AB, CAN",,1RW9460RPCH004024,RitchieBros,2026-01-20 22:53:28.229233,86B3FCE8-1312-39C6-8745-7B4356F7254C,2012 John Deere 9460R Articulated Tractor,Articulated Tractor,"St. Paul, AB, CAN - Apr 14, 2026",2026-04-14 14:00:00,Live Auction,https://cdn.ironpla.net/i/20392/59/d2820207-0cf1-40cd-bb8f-89e1a086dca4.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9560R,2012.0,,,"Bienfait, SK, CAN",,1RW9560RVCP002170,RitchieBros,2026-01-20 22:53:28.229233,AED62AC7-D494-3004-B194-907C7310E085,2012 John Deere 9560R Articulated Tractor,Articulated Tractor,"Estevan, SK, CAN - Apr 15, 2026",2026-04-15 14:00:00,Live Auction,https://cdn.ironpla.net/i/20413/756/8b535377-ed45-406a-bd91-7cc871e5fc00.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Versatile,450,2014.0,,,"Borden, SK, CAN",,704932,RitchieBros,2026-01-20 22:53:28.229233,BD7D9857-1EA1-3AF2-A851-EAFE0B48508E,2014 Versatile 450 Articulated Tractor,Articulated Tractor,"Borden, SK, CAN - Apr 11, 2026",2026-04-11 14:00:00,Live Auction,https://cdn.ironpla.net/i/20770/668/5bf9c354-ba1b-4804-82c7-8fd552c8081a.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9560RT,2012.0,,,"Manning, AB, CAN",,1RW9560RK0P901350,RitchieBros,2026-01-20 22:53:28.229233,B6474848-33E8-3715-B6C4-8D00A0591DAA,2012 John Deere 9560RT Track Tractor,Track Tractor,"Manning, AB, CAN - Apr 09, 2026",2026-04-09 14:00:00,Live Auction,https://cdn.ironpla.net/i/20738/903/860b058a-59c9-48b7-bf7a-57d0c6e486f5.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,8345R,2018.0,,,"Enchant, AB, CAN",,1RW8345RCJD135197,RitchieBros,2026-01-20 22:53:28.229233,DC593572-31B2-359C-AD82-DB6388D863E4,2018 John Deere 8345R 4WD Tractor,4WD Tractor,"Enchant, AB, CAN - Mar 26, 2026",2026-03-26 14:00:00,Live Auction,https://cdn.ironpla.net/i/20293/344/3435a9ef-d4ba-4963-847c-7bbd0175160d.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9430,2011.0,,,"Gilbert Plains, MB, CAN",,1RW9430PEBP025419,RitchieBros,2026-01-20 22:53:28.229233,111C3D54-4C81-32AA-AC73-7181A336F3AF,2011 John Deere 9430 Articulated 4WD Tractor,Articulated Tractor,"Gilbert Plains, MB, CAN - Mar 26, 2026",2026-03-26 13:00:00,Live Auction,https://cdn.ironpla.net/i/19140/958/0812d141-c291-4231-b66c-d144a6032204.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Challenger,MT865C,2010.0,,,"North Battleford, SK, CAN",,AGCC0865TNVKG1062,RitchieBros,2026-01-20 22:53:28.229233,2060518F-9050-38D8-BF14-D2FB5992FE7F,2010 Challenger MT865C Track Tractor,Track Tractor,"North Battleford, SK, CAN - Apr 16, 2026",2026-04-16 14:00:00,Live Auction,https://cdn.ironpla.net/i/20703/811/c4cbc6cf-542f-315e-bc81-a8a54f343bee.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,500,2012.0,,,"Melfort, SK, CAN",,ZCF129734,RitchieBros,2026-01-20 22:53:28.229233,BC28DD79-293D-338F-81FA-F101EF7B75AE,2012 Case IH 500 Quadtrac Track Tractor,Track Tractor,"Melfort, SK, CAN - Apr 13, 2026",2026-04-13 14:00:00,Live Auction,https://cdn.ironpla.net/i/20542/857/13150661-9408-4773-95f4-0f9c46373b6d.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,6175R,2020.0,,,"Drumheller, AB, CAN",,1L06175RJLP966481,RitchieBros,2026-01-20 22:53:28.229233,5742722E-7CCD-3ABA-86A6-1B2548DC3E0D,2020 John Deere 6175R 4WD Tractor,4WD Tractor,"Drumheller, AB, CAN - Apr 01, 2026",2026-04-01 14:00:00,Live Auction,https://cdn.ironpla.net/i/20833/655/7fef6ed8-8e73-41fc-a1a5-8e53c3ac59f1.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,Quadtrac 470,2022.0,,,"Tulare, CA, USA",,JEEZC470TNF505595,RitchieBros,2026-01-20 22:53:28.229233,613A75E0-E870-316C-A57A-7B715D7B61C9,2022 Case IH Quadtrac 470 Track Tractor,Track Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/21051/101/d8267bf1-5b91-45fa-8a9c-d99014256c9d.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Versatile,550,2014.0,,,"Wolseley, SK, CAN",,705194,RitchieBros,2026-01-20 22:53:28.229233,ABCC20DE-5CD2-356C-BBF3-F7A943EB3AC6,2014 Versatile 550 Articulated 4WD Tractor,Articulated Tractor,"Wolseley, SK, CAN - Apr 01, 2026",2026-04-01 14:00:00,Live Auction,https://cdn.ironpla.net/i/19601/627/8c4a0de8-ac65-4148-a1ad-1c6b37c0aada.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,Steiger 485,2010.0,,,"Bredenbury, SK, CAN",,ZAF119080,RitchieBros,2026-01-20 22:53:28.229233,106E5D67-ECDC-35C1-8B07-4BEF8B2362CC,2010 Case IH Steiger 485 Articulated Tractor,Articulated Tractor,"Bredenbury, SK, CAN - Apr 10, 2026",2026-04-10 18:00:00,Live Auction,https://cdn.ironpla.net/i/18572/213/38d57e4a-1687-4751-97fc-2b6c2b7616f4.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,Puma 165,2022.0,,,"Redvers, SK, CAN",,HACPU165CND220667,RitchieBros,2026-01-20 22:53:28.229233,F9F710BF-FEBB-32EF-9801-E6E5BA414E41,2022 Case IH Puma 165 4WD Tractor,4WD Tractor,"Redvers, SK, CAN - Apr 14, 2026",2026-04-14 18:00:00,Live Auction,https://cdn.ironpla.net/i/19087/143/335301cf-2b80-4ca1-919e-6ef541cfbe44.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,Steiger 620,2016.0,,,"Vegreville, AB, CAN",,ZFP104272,RitchieBros,2026-01-20 22:53:28.229233,8CC1F93A-9553-39A4-8CC1-D491942FD8F1,2016 Case IH Steiger 620 Track Tractor,Track Tractor,"Vegreville, AB, CAN - Apr 10, 2026",2026-04-10 14:00:00,Live Auction,https://cdn.ironpla.net/i/20723/246/a4ab35d5-33f6-4ef3-9ffb-5ebfe477d34e.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Challenger,MT875B,2013.0,,,"Drumheller, AB, CAN",,AGCC0875KENLG1079,RitchieBros,2026-01-20 22:53:28.229233,BB39424D-0F56-34ED-B527-EB77487940D0,2013 Challenger MT875B Track Tractor,Track Tractor,"Drumheller, AB, CAN - Apr 01, 2026",2026-04-01 14:00:00,Live Auction,https://cdn.ironpla.net/i/20833/649/1cef1eaf-32ee-40b2-9507-63c66cf9e5dd.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
New Holland,T9.560,2012.0,,,"Kenville, MB, CAN",,ZCF216441,RitchieBros,2026-01-20 22:53:28.229233,B729E64E-D6D2-330D-83BF-3C185E5F5348,2012 New Holland T9.560 Articulated Tractor,Articulated Tractor,"Kenville, MB, CAN - Apr 09, 2026",2026-04-09 13:00:00,Live Auction,https://cdn.ironpla.net/i/20674/334/d35137fa-dcc4-4d7e-985c-8d847c3bb6a3.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
New Holland,T9.615,2011.0,,,"Vegreville, AB, CAN",,ZBF214136,RitchieBros,2026-01-20 22:53:28.229233,A484CF30-5F07-3FB0-898C-6FD4E6E05873,2011 New Holland T9.615 Articulated Tractor,Articulated Tractor,"Vegreville, AB, CAN - Apr 10, 2026",2026-04-10 14:00:00,Live Auction,https://cdn.ironpla.net/i/20723/247/39da1ad6-fc8b-45ab-b5ff-b7cb36bfe2d4.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Challenger,MT875B,2014.0,,,"Drumheller, AB, CAN",,AGCC0875PDNLG1077,RitchieBros,2026-01-20 22:53:28.229233,E04A150F-CAF7-347A-A554-E90FD94B5537,2014 Challenger MT875B Track Tractor,Track Tractor,"Drumheller, AB, CAN - Apr 01, 2026",2026-04-01 14:00:00,Live Auction,https://cdn.ironpla.net/i/20833/648/6eb6ada9-89d7-4c34-82e6-33d57e571a6d.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9630T,2011.0,,,"Sibbald, AB, CAN",,1RW9630TPBP914720,RitchieBros,2026-01-20 22:53:28.229233,1DD8D6AE-EFCA-3D0A-907A-02E407AAD24A,2011 John Deere 9630T Track Tractor,Track Tractor,"Sibbald, AB, CAN - Mar 12, 2026",2026-03-12 18:00:00,Live Auction,https://cdn.ironpla.net/i/20548/887/05b91f4c-718a-465e-be05-5ba4a898cca4.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9430,2011.0,,,"Macrorie, SK, CAN",,1RW9430PLBP024929,RitchieBros,2026-01-20 22:53:28.229233,85BB1ABA-E397-393F-A597-88E45552FDDC,2011 John Deere 9430 Articulated Tractor,Articulated Tractor,"Macrorie, SK, CAN - Apr 20, 2026",2026-04-20 18:00:00,Live Auction,https://cdn.ironpla.net/i/20808/335/0e0e9edc-0836-4166-95c1-7bd1b8ac127f.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
New Holland,T8.420,2014.0,,,"Mont-Saint-Hilaire, QC, CAN",,ZERCO2759,RitchieBros,2026-01-20 22:53:28.229233,03FD1373-9157-3B15-B8BF-D962F0876725,2014 New Holland T8.420 4WD Tractor,4WD Tractor,"Quebec Regional Event, CAN - Mar 30, 2026",2026-03-30 12:00:00,Live Auction,https://cdn.ironpla.net/i/18963/89/bea15b1f-ee0e-407b-a5b3-c673925754ed.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Versatile,2375,2014.0,,,"Bredenbury, SK, CAN",,335825,RitchieBros,2026-01-20 22:53:28.229233,8694F66F-BEF4-35FA-9647-3497A2F78DEA,2014 Versatile 2375 Articulated Tractor,Articulated Tractor,"Bredenbury, SK, CAN - Apr 10, 2026",2026-04-10 18:00:00,Live Auction,https://cdn.ironpla.net/i/20663/417/a843d581-bec6-42b9-a643-9f8ef9128ff4.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,435,2010.0,,,"Middle Lake, SK, CAN",,ZAF118395,RitchieBros,2026-01-20 22:53:28.229233,4B5097C9-B322-315C-BE42-C731C35EBA66,2010 Case IH 435 4WD Tractor,4WD Tractor,"Middle Lake, SK, CAN - Apr 08, 2026",2026-04-08 18:00:00,Live Auction,https://cdn.ironpla.net/i/20777/118/4f925bcb-464e-427f-9720-e72de0ca723e.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Versatile,520,2020.0,,,"Strathmore, AB, CAN",,707585,RitchieBros,2026-01-20 22:53:28.229233,13738898-D3B0-3CDA-B331-BD1900BB9C32,2020 Versatile 520 Articulated Tractor,Articulated Tractor,"Strathmore, AB, CAN - Apr 02, 2026",2026-04-02 14:00:00,Live Auction,https://cdn.ironpla.net/i/19454/165/20092622-543f-40c3-bc17-f7e97cceb671.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,STX375,2002.0,,,"Ceylon, SK, CAN",,JEE0100519,RitchieBros,2026-01-20 22:53:28.229233,D5036E27-F729-3797-B1DC-D297BFD9E373,2002 Case IH STX375 Articulated 4WD Tractor,Articulated Tractor,"Ceylon, SK, CAN - Apr 07, 2026",2026-04-07 14:00:00,Live Auction,https://cdn.ironpla.net/i/20776/688/0e78e022-e718-4ea8-82c1-2a661d239275.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,Magnum 315,2013.0,,,"Landis, SK, CAN",,ZDRD02941,RitchieBros,2026-01-20 22:53:28.229233,03689539-17C8-37E9-98E1-F55406D95B0A,2013 Case IH Magnum 315 4WD Tractor,4WD Tractor,"Landis, SK, CAN - Apr 02, 2026",2026-04-02 14:00:00,Live Auction,https://cdn.ironpla.net/i/19677/472/7a51c512-edbc-4d8a-a98e-17162247ccc8.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,6170M,2015.0,,,"Rockglen, SK, CAN",,1L06170MCFG818736,RitchieBros,2026-01-20 22:53:28.229233,E3494DE3-0D34-3DD4-A9D6-B5BCFD1F0D8A,2015 John Deere 6170M 4WD Tractor,4WD Tractor,"Rockglen, SK, CAN - Apr 22, 2026",2026-04-22 14:00:00,Live Auction,https://cdn.ironpla.net/i/20855/450/9254dfb2-544e-4db3-b9d0-02ac42969df0.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,Magnum 225,2013.0,,,"Vauxhall, AB, CAN",,ZCRH09453,RitchieBros,2026-01-20 22:53:28.229233,D30B3A96-57CA-30A6-BE9D-185681B46D6D,2013 Case IH Magnum 225 4WD Tractor,4WD Tractor,"Vauxhall, AB, CAN - Apr 07, 2026",2026-04-07 14:00:00,Live Auction,https://cdn.ironpla.net/i/19767/503/a3bf2e85-3570-4164-ae0e-bf24fbad700b.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,STX450,2005.0,,,"Bruno, SK, CAN",,JEE0107035,RitchieBros,2026-01-20 22:53:28.229233,8C586F00-2A99-3ACE-823A-DD06C32525D6,2005 Case IH STX450 Articulated Tractor,Articulated Tractor,"Bruno, SK, CAN - Apr 10, 2026",2026-04-10 14:00:00,Live Auction,https://cdn.ironpla.net/i/19627/840/67262673-94fd-4c96-bbcf-3a015f12ba8c.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Fendt,938MT,2021.0,,,"Tulare, CA, USA",,AGCF0938JMNNC1061,RitchieBros,2026-01-20 22:53:28.229233,249F5CCD-0F3E-38E0-B0ED-6498DD052ACA,2021 Fendt 938MT Track Tractor,Track Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/21161/467/b17d120a-cdf7-4203-9b5e-47e89a734ff1.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,STX425,,,,"Insinger, SK, CAN",,JEE0108851,RitchieBros,2026-01-20 22:53:28.229233,663DC61D-C862-38A6-ADAE-3FD9C6876518,Case IH STX425 Articulated Tractor,Articulated Tractor,"Insinger, SK, CAN - Jun 23, 2026",2026-06-23 14:00:00,Live Auction,https://cdn.ironpla.net/i/20553/132/92f0450e-277a-48b2-a8fb-0b857fe7d54d.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,Steiger 500,2011.0,,,"Neville, SK, CAN",,ZBF125938,RitchieBros,2026-01-20 22:53:28.229233,847AAF04-3385-3E0E-BD22-A7595CD0B592,2011 Case IH Steiger 500 Articulated Tractor,Articulated Tractor,"Neville, SK, CAN - Mar 31, 2026",2026-03-31 18:00:00,Live Auction,https://cdn.ironpla.net/i/19001/131/e26bf692-6c85-4705-9fbf-fdd3cefdb9b2.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
New Holland,TV6070,2014.0,,,"Wakaw, SK, CAN",,RVS141351,RitchieBros,2026-01-20 22:53:28.229233,130DFB3A-279C-3C4B-BEB7-1F38AEEFBDFA,2014 New Holland TV6070 Bi-Directional Tractor,Bi-Directional Tractor,"Wakaw, SK, CAN - Apr 14, 2026",2026-04-14 14:00:00,Live Auction,https://cdn.ironpla.net/i/20228/938/10202cf2-7553-476b-bf0c-a20f004e50e3.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
