loan_amount,equipment_age,down_payment_percent,ltv,borrower_income,credit_score,trade_in_present,equipment_type,borrower_state,naics_code,risk_flag_count,missing_serial_indicator,equipment_age_variance,approval,risk_score,optimal_down_payment_percent,optimal_term_months
91981.12,3.3333333333333335,0.1437893211655802,0.7098311177152332,54282.8,699.4112644192198,0.0,Sprayer,WI,1119,2.0,0.0,6.222222222222221,0,50.457826688701594,0.292873667788177,66
133055.94,10.666666666666666,0.20350730173105216,0.4864404438248979,134847.49,756.5095512633958,0.0,Harvester,IN,3331,1.0,0.0,20.222222222222225,1,31.661504331466208,0.39018429306811975,80
128700.32,5.0,0.04928698469181805,0.6611396336612565,153658.95,670.6976189780112,0.0,Harvester,IN,1152,1.0,0.0,0.0,1,24.620491108240223,0.2500460024753376,63
195294.76,10.0,0.1481481917946122,0.6545881169985743,105878.37,730.1861133196664,1.0,Tillage,IA,1152,3.0,1.0,25.0,0,44.893481436005466,0.2783612289226013,70
91903.69,8.0,0.26992458422319426,0.8433307994914676,76381.04,690.0048967030001,0.0,Sprayer,IA,1119,0.0,0.0,34.666666666666664,1,27.027960533254856,0.4658686631566845,69
271347.5,13.666666666666666,0.08641090821367259,1.0477591708009277,175897.29,684.9601546423703,1.0,Harvester,OK,1119,4.0,0.0,11.555555555555555,0,62.30396489764688,0.1818029784183788,80
138969.56,12.0,0.13809713599652482,0.8698406025603207,94626.86,771.3774705508015,0.0,Loader,IN,1113,2.0,0.0,14.0,1,43.46920316354316,0.3011587296694385,70
228021.21,9.5,0.13706043834736456,0.9736757348740708,173076.41,643.2664554994898,0.0,Planter,WI,1152,3.0,0.0,0.25,0,51.50505040556155,0.2840503375362415,54
213444.12,12.333333333333334,0.39932018126935165,0.9322072713670363,196854.89,673.1388908292118,0.0,Combine,SD,1152,3.0,1.0,1.5555555555555556,0,49.88577329514719,0.5,72
202063.21,15.666666666666666,0.16639456410855455,0.915456274826668,144343.51,680.0752485080059,0.0,Sprayer,SD,1152,2.0,0.0,1.5555555555555556,0,37.585988498845516,0.3412225871108635,66
282007.93,7.5,0.09128154441943713,0.889476247828445,102690.42,657.7468618322433,0.0,Loader,ND,3331,1.0,0.0,56.25,0,39.57513464322055,0.26213127513299606,78
147141.47,10.0,0.250433495952675,0.7681706775209407,127881.3,683.3709082957251,0.0,Loader,SD,1152,0.0,0.0,0.0,1,18.855295891119646,0.4627229041704357,71
63187.73,10.0,0.24213537741888397,0.9071658748251693,231664.92,705.2509242165966,0.0,Sprayer,OK,1111,1.0,0.0,8.0,1,29.845307732957245,0.43244476195296944,72
104720.79,4.0,0.19257235925945004,0.840479139713681,146471.95,779.4740485378493,0.0,Harvester,WI,1121,0.0,0.0,4.0,1,26.79167317948032,0.3889890129004894,79
74102.99,2.0,0.1551733662425111,0.7936574241932334,86943.64,780.7703042300474,1.0,Loader,IA,4238,2.0,1.0,2.0,1,47.62462613777502,0.27992411396696104,82
41946.54,6.0,0.12653279119636066,0.6563574722576664,183109.48,771.8119817857372,0.0,Tillage,MO,1112,2.0,1.0,60.666666666666664,1,29.925673331016796,0.3166814445343271,74
116105.11,6.0,0.11211601056341422,0.8894701736640486,155264.82,765.1673548295055,1.0,Tractor,IL,4238,3.0,1.0,0.0,0,48.930594463841956,0.23425482163573033,79
158220.55,3.0,0.09094912002728635,0.8817194115262323,40000.0,697.5280326379162,1.0,Harvester,IN,4238,3.0,0.0,1.0,0,51.40971441061173,0.2081296912060629,92
109713.64,9.0,0.24205583782151552,1.0486544192060563,145195.76,629.5591488925202,0.0,Tractor,SD,1152,2.0,0.0,49.0,0,53.65605078948793,0.38474373624253966,76
160363.75,12.0,0.24471384761604742,0.7749228354602516,40000.0,668.7938038913612,0.0,Tillage,NE,1152,2.0,0.0,9.0,0,45.81657726689914,0.40308069308224914,63
195897.48,5.0,0.26435111892874874,0.9523146903648608,89086.65,686.7328498130029,0.0,Planter,NE,4238,1.0,0.0,25.0,1,36.203507593286474,0.44194410374217574,91
132271.13,6.333333333333333,0.2469083806420792,0.8210063649999826,102442.98,543.5919064563469,0.0,Sprayer,ND,3331,1.0,0.0,14.888888888888891,0,38.40741619488623,0.4200935482523067,72
199793.63,3.0,0.09701824748877184,0.8670048034125928,80020.23,668.2928802173585,1.0,Sprayer,NE,1121,3.0,1.0,0.0,0,54.26253177739341,0.20849318393398503,85
251257.67,8.5,0.15699890857145302,1.35,40000.0,739.4999815436354,0.0,Planter,ND,1121,2.0,0.0,72.25,0,67.15682939912749,0.2726852497731981,83
232179.16,2.0,0.05917606480615323,0.8776710217413541,52355.76,691.6182966571735,0.0,Tractor,MN,1119,2.0,0.0,2.0,0,51.022094175060055,0.20713187645603312,67
161576.46,7.0,0.265573894290397,0.8079580942169458,125745.84,733.3865142233751,0.0,Loader,OH,3331,0.0,0.0,0.0,0,19.495767283751213,0.4765823597228946,77
68316.19,10.0,0.18928859361640873,0.5814995981951958,132239.8,673.4579478334296,0.0,Harvester,ND,1112,1.0,1.0,0.0,0,30.426197309529332,0.3784361989973501,66
219281.86,7.666666666666667,0.10189314741126335,0.8054337356521305,154168.73,646.9358857574894,0.0,Tillage,SD,1152,2.0,0.0,5.5555555555555545,0,41.69530756064102,0.26850253228998133,62
233743.78,15.0,0.14248741264081177,0.9673290002582329,117927.58,744.2374974328422,0.0,Loader,ND,4238,3.0,0.0,0.0,0,47.50170797868786,0.29748399668343606,79
92142.26,8.5,0.11866353088193556,0.8361107349061171,46451.37,752.2945028031156,0.0,Loader,OK,4238,2.0,0.0,30.25,1,36.49405570099148,0.2956754194799526,76
209282.89,13.0,0.23770532761940164,0.8045674527137636,68420.73,637.2886778758652,0.0,Tractor,ND,4238,2.0,0.0,1.0,0,37.51318936416412,0.4126789488910734,58
278458.11,7.0,0.10191453735281467,0.923492615593129,40000.0,768.3409089771728,1.0,Harvester,KS,1111,5.0,1.0,4.666666666666667,0,78.97965171508936,0.16395523392263597,72
224754.2,7.666666666666667,0.08059274833611865,0.8848466623146473,44174.7,670.4965041300433,0.0,Tillage,SD,4238,2.0,0.0,32.88888888888889,0,50.568741522690175,0.22945526529073834,73
130325.55,4.666666666666667,0.04559112259886622,0.45,64528.32,653.936962605161,0.0,Harvester,IA,3331,2.0,1.0,8.222222222222221,0,44.82489154563165,0.2059413395076029,64
157950.92,16.5,0.1331384794365617,1.0537614326165312,177790.2,691.5658935110185,0.0,Tractor,ND,1121,3.0,0.0,0.25,1,51.155502089775304,0.28082747525701107,77
155080.33,7.333333333333333,0.0954402490690166,0.6585531734322562,40000.0,737.651857019668,0.0,Sprayer,OK,1112,2.0,0.0,5.5555555555555545,1,46.12432194686129,0.253191605175294,77
205335.07,6.0,0.28705802737803293,0.6946739974587338,112044.84,672.0625689662274,0.0,Harvester,WI,1119,1.0,1.0,6.0,1,35.93593502941712,0.46518615731919866,57
249445.22,7.0,0.21734536830738066,0.9505619687258362,113239.92,660.8047994528694,0.0,Tractor,WI,1112,2.0,1.0,1.0,0,47.62835892483843,0.3720886504577038,62
211084.06,9.5,0.37609862558625146,1.172398962992452,126570.83,830.0,1.0,Harvester,OK,1151,2.0,0.0,2.25,1,63.04505592609632,0.47000851373405883,72
141876.89,7.0,0.196815552226157,1.1665987244366298,141964.24,675.281614558948,0.0,Combine,NE,1112,1.0,0.0,0.0,0,54.16395711117313,0.3384876380038107,81
255444.6,12.333333333333334,0.28716119064102175,0.8780458667197434,215787.55,680.9670319687217,0.0,Tillage,SD,1152,1.0,0.0,11.555555555555555,1,47.23241049621761,0.4426963696485865,89
211621.63,11.666666666666666,0.25188872360581116,0.9133923951852538,146397.82,703.3454349228124,0.0,Planter,IL,1111,2.0,0.0,22.888888888888886,0,43.426157263156746,0.4150364090794977,67
166375.05,8.0,0.191321212590074,0.9657885341183163,76920.71,697.1461419791341,0.0,Harvester,NE,3331,1.0,0.0,0.0,0,42.43181239106597,0.35645758780794207,75
102925.09,4.0,0.0770727269517245,0.8809882733565438,104578.86,574.9904436274854,1.0,Planter,IA,1112,4.0,1.0,14.0,1,56.67644756411241,0.18371983182349969,73
243858.67,4.0,0.13558612454384134,1.0592689632680066,40000.0,584.5871392864984,1.0,Harvester,IL,1119,5.0,0.0,4.0,0,82.38300692529886,0.19082011069324362,72
183469.87,8.5,0.27283730485065505,0.9170181953070818,58810.27,711.9796877388039,1.0,Planter,OK,3331,3.0,0.0,56.25,0,55.46312617777967,0.3819110524950957,70
172895.34,12.5,0.3477437598174953,0.5831400691134285,159234.49,725.1517296709357,0.0,Tillage,MN,1152,1.0,0.0,20.25,1,48.180586286678206,0.5,78
75154.68,5.0,0.0,0.6906054037612575,40000.0,799.1973498611338,1.0,Planter,MN,1113,3.0,0.0,9.0,1,59.57608890263752,0.10084782219472496,74
240173.48,13.5,0.10155826230743288,1.1195680764996663,92022.77,805.7547929237136,1.0,Tillage,IA,3331,4.0,0.0,0.25,0,61.70957027709553,0.19813912175324183,81
115174.35,17.0,0.34937179495548065,1.0469050913222595,142976.01,640.6418603575712,1.0,Harvester,WI,3331,5.0,1.0,0.0,0,80.00978608135182,0.40935222279277705,78
231561.52,2.3333333333333335,0.22598729467864176,0.8932291266658225,150574.88,650.1504411290102,0.0,Tractor,ND,1151,0.0,0.0,0.8888888888888888,1,20.30854271458228,0.4353702092494772,80
148075.52,10.0,0.2802885282655976,1.2619014973118694,160740.73,721.6959055445016,1.0,Harvester,KS,1152,2.0,0.0,8.666666666666666,0,49.022608312507955,0.4022433116405817,83
155956.89,8.666666666666666,0.1716596324987907,0.8814907437924269,41502.01,717.6676767607275,0.0,Combine,SD,1119,1.0,0.0,38.88888888888889,1,42.792810439903135,0.3360740116189844,82
109583.18,15.0,0.14504095340369766,0.5207555090550475,40000.0,732.9226027025763,0.0,Harvester,KS,1112,3.0,0.0,0.0,1,59.35673526154667,0.2763274828806043,73
142587.14,11.333333333333334,0.283239052604733,0.8681836219252762,149941.93,715.1385702797274,0.0,Loader,OH,4238,1.0,0.0,29.555555555555554,1,35.42573173746624,0.4623875891298005,73
63694.8,8.666666666666666,0.2868150670744773,0.7673876608477487,136551.33,673.253720573941,1.0,Combine,IN,1113,2.0,1.0,48.22222222222223,1,35.33162193259745,0.43615182320928236,73
246613.6,7.666666666666667,0.2839974974988164,0.8905545343792629,158990.49,620.481977658938,0.0,Sprayer,WI,1121,1.0,0.0,11.555555555555557,0,31.001884181413857,0.4719937291359887,74
226642.22,6.0,0.12457050648333877,0.8727829158212015,241960.77,686.3594052021182,1.0,Combine,NE,1121,3.0,1.0,0.0,0,40.27811809559694,0.26401427029214486,84
392640.93,9.0,0.18192423070795433,1.293939532530671,198352.07,679.2407718055772,0.0,Combine,ND,4238,1.0,0.0,2.0,1,52.43842007650517,0.327047390554944,78
197211.14,9.666666666666666,0.18974747327574026,0.7921261488334524,49774.13,758.3870580272833,1.0,Combine,SD,4238,2.0,0.0,0.888888888888889,1,43.77977562157675,0.3221879220325867,80
261528.22,16.0,0.11321270413508396,0.8813258688130671,136616.13,698.0459250359685,1.0,Loader,WI,1119,3.0,0.0,0.0,0,47.70262534351921,0.23780745344804557,71
88273.93,10.0,0.308050297913515,0.7851334782285492,107483.52,698.5451160363576,0.0,Sprayer,IA,1119,0.0,0.0,1.0,1,15.093938343225748,0.5,71
42923.83,5.333333333333333,0.26035662052430353,0.6186930255222283,143534.84,760.7298550573056,0.0,Combine,WI,1113,0.0,0.0,9.555555555555555,1,15.384029700561346,0.4795885611231808,70
53381.22,3.0,0.16273667854849222,0.7655555398214264,146277.98,645.6015906997321,0.0,Combine,IL,4238,1.0,0.0,1.0,1,26.7141279432412,0.3593084226620098,77
92836.4,3.0,0.21224413936699343,0.8273264744297103,101820.23,715.3966792707766,0.0,Tillage,IA,1111,0.0,0.0,4.0,1,30.083546848410958,0.4020770456701715,60
209380.53,8.5,0.1434351288084964,0.8942187341695124,64055.25,690.7019363259438,1.0,Planter,OH,1119,2.0,0.0,20.25,0,46.83868774209351,0.2697577533243094,77
285632.7,1.0,0.26585054420557275,0.9167199029999286,40000.0,682.7799588702487,0.0,Tillage,MN,3331,2.0,0.0,0.0,0,50.702056875020716,0.4144464304555313,79
268767.11,8.0,0.09556328476775733,1.0426840232922583,117844.02,746.0728883110728,1.0,Planter,NE,1121,4.0,1.0,64.0,1,60.864244588230086,0.19383479559129715,78
348132.02,5.5,0.0859461292412099,1.1652280341646353,154732.43,810.2689488512531,1.0,Tractor,SD,1119,3.0,0.0,0.25,1,60.29353415492228,0.18535906093136537,73
59783.84,10.666666666666666,0.2385761065530716,0.5702536314723305,81813.31,731.0917781026377,0.0,Tractor,NE,1152,1.0,0.0,28.222222222222225,1,33.44276321480825,0.42169058012345506,65
84901.14,11.5,0.1345278652061399,0.9041208057102238,111304.55,634.6946432507793,0.0,Planter,NE,1151,4.0,0.0,20.25,0,51.941755952284595,0.2806443533015707,69
210415.66,7.5,0.35231223951602253,0.824323191630188,93732.2,674.2679395769587,0.0,Combine,OH,1119,0.0,0.0,6.25,1,22.80111453367798,0.5,66
250981.25,8.666666666666666,0.3541025775430341,0.8973270249584151,128756.58,703.539915527899,0.0,Tractor,OH,1119,0.0,0.0,43.55555555555555,1,24.501707563261466,0.5,71
121917.4,14.0,0.134074290544837,1.0422604060603646,72774.7,660.168466979244,0.0,Tillage,IA,1152,3.0,0.0,0.0,0,65.80619396454608,0.2524619026157448,76
154084.47,11.0,0.3352821484937407,0.7940646481466125,146441.89,726.8402881504041,1.0,Tractor,OH,1151,2.0,0.0,18.666666666666668,1,28.688096863358638,0.4979059547670234,66
203595.41,6.0,0.1374750694105075,0.8628042203793448,138751.08,617.323320988218,0.0,Tractor,MO,4238,3.0,1.0,8.666666666666666,0,50.90704341106274,0.285660982588382,76
143760.54,0.0,0.24712395778810037,0.7641116774849496,109215.68,700.8017032755604,0.0,Loader,ND,1152,0.0,0.0,0.0,1,24.67728606179561,0.44776938566450913,72
189879.43,6.0,0.17609032979317665,0.7952969525180345,78072.5,690.3901961429086,0.0,Sprayer,IL,1111,0.0,0.0,4.0,1,27.492117640544446,0.37110609451208776,73
127777.28,10.0,0.16843445601088178,0.9673356816659873,137005.34,776.117874216179,0.0,Loader,OK,1112,2.0,1.0,25.0,0,49.57598547486201,0.31928248506115775,81
